"","a_party_string","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"1","Adalet ve Kalkınma Partisi",50,34.4827586206897,50,100,33.3333333333333,34.0659340659341,41.9354838709677,44.1176470588235,43.75,35.8974358974359,52.6315789473684,50,17.3913043478261,26.3157894736842
"2","Anavatan Partisi",0,3.44827586206897,50,0,0,0,0,0,0,0,0,0,0,0
"3","Bağımsızlar",0,0,0,0,3.7037037037037,0,0,5.88235294117647,0,2.56410256410256,0,0,0,0
"4","Cumhuriyet Halk Partisi",33.3333333333333,55.1724137931034,0,0,16.6666666666667,25.2747252747253,32.258064516129,17.6470588235294,25,35.8974358974359,31.5789473684211,33.3333333333333,47.8260869565217,26.3157894736842
"5","Kurdish Party Family",0,0,0,0,7.40740740740741,12.0879120879121,9.67741935483871,11.7647058823529,6.25,10.2564102564103,5.26315789473684,16.6666666666667,21.7391304347826,21.0526315789474
"6","Milliyetçi Hareket Partisi",0,0,0,0,31.4814814814815,23.0769230769231,16.1290322580645,14.7058823529412,25,15.3846153846154,10.5263157894737,0,13.0434782608696,26.3157894736842
"7","Not specified",16.6666666666667,6.89655172413793,0,0,7.40740740740741,5.49450549450549,0,0,0,0,0,0,0,0
"8","Platforma Obywatelska (PO)",0,0,0,0,0,0,0,5.88235294117647,0,0,0,0,0,0
"9","Sum",100,100,100,100,100,100,100,100,100,100,100,100,100,100
