"","Var1","Freq"
"1","Adalet ve Kalkınma Partisi",37.97
"2","Anavatan Partisi",0.5
"3","Bağımsızlar",1.24
"4","Cumhuriyet Halk Partisi",29.28
"5","Kurdish Party Family",9.43
"6","Milliyetçi Hareket Partisi",16.87
"7","Not specified",4.22
"8","Platforma Obywatelska (PO)",0.5
